,City,Lat,Lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total
0,Angra dos Reis,-23.0063966,-44.316326,16,29,12,26,30,25,34,23,30,32,31,36,36,41,45,56,63,62,106,65,41,45,43,59,60,34,40,15,10,17,3,8,9,7,2,4,8,7,6,5,0,3,9,12,4,4,2,2,5,1,4,4,1271
1,Aperibé,-21.6211928,-42.1028167,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,3,1,5,9,6,10,21,35,105
2,Araruama,-22.8733203,-42.3428897,2,1,1,2,7,6,0,3,4,6,6,6,4,3,5,6,15,13,9,7,10,2,6,4,3,6,3,3,1,0,4,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,155
3,Areal,-22.2314922,-43.1056264,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,Armação dos Búzios,-22.7597805,-41.8875267,2,2,1,3,3,3,1,5,4,0,3,1,0,1,2,1,1,0,5,3,6,1,4,2,1,3,2,1,0,1,6,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
5,Arraial do Cabo,-22.9662839,-42.024427,0,0,0,1,2,1,0,0,0,0,0,2,4,1,1,2,8,3,5,2,7,8,9,10,1,5,3,2,10,1,7,4,2,1,3,1,1,1,1,0,0,0,0,0,1,0,0,0,2,2,0,0,114
6,Barra do Piraí,-22.4703403,-43.8263256,0,1,1,3,1,0,3,0,0,2,1,3,1,4,9,9,5,11,11,20,12,6,8,8,5,7,4,2,0,2,2,2,1,1,2,0,2,1,0,1,1,1,1,0,2,0,2,1,1,0,0,0,160
7,Barra Mansa,-22.5394843,-44.1735129,1,1,0,0,0,3,1,0,1,2,3,3,2,0,0,0,1,1,3,4,2,1,0,0,2,1,0,2,1,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,43
8,Belford Roxo,-22.7667284,-43.4033603,21,20,18,24,24,32,23,35,41,73,51,78,38,67,79,99,78,126,121,125,95,72,68,44,47,23,29,12,11,4,2,3,5,7,4,6,5,6,4,7,7,8,1,4,1,2,2,8,2,5,12,7,1686
9,Bom Jardim,-22.1515328,-42.4186683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10,Bom Jesus do Itabapoana,-21.1341025,-41.680095,15,1,1,1,7,4,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,0,1,2,1,3,0,0,0,1,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,3,6,2,0,0,65
11,Cabo Frio,-22.8804369,-42.0189227,13,30,12,27,24,19,26,20,16,52,44,45,22,29,61,103,121,121,223,274,147,153,208,172,144,106,109,77,63,20,61,96,59,66,58,38,37,36,31,7,4,7,1,15,22,15,0,2,22,21,26,9,3114
12,Cachoeiras de Macacu,-22.4626861,-42.6534414,4,2,2,0,1,5,2,2,1,13,9,13,10,20,7,16,4,17,3,5,14,4,5,3,8,7,1,0,1,0,0,0,1,0,1,1,2,1,2,0,0,0,1,0,0,0,4,0,4,1,2,0,199
