,City,Lat,Lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total
0,Angra dos Reis,-23.0063966,-44.316326,7,10,16,23,27,68,95,122,134,144,176,208,188,255,280,221,295,301,307,274,192,203,157,155,63,46,44,36,34,8,12,16,21,7,8,8,14,8,7,6,15,15,6,16,20,13,16,10,12,17,15,0,4351
1,Aperibé,-21.6211928,-42.1028167,0,0,1,0,1,0,1,0,0,1,0,1,2,0,4,3,2,1,2,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2,Araruama,-22.8733203,-42.3428897,1,4,1,2,2,6,4,2,11,4,4,3,14,12,7,13,33,63,85,86,55,67,41,27,19,14,14,12,4,1,4,3,5,1,5,2,1,1,1,0,4,4,6,3,1,0,6,2,4,1,1,1,667
3,Areal,-22.2314922,-43.1056264,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,6,5,7,4,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,37
4,Armação dos Búzios,-22.7597805,-41.8875267,0,0,0,4,7,2,3,3,12,4,13,17,34,44,60,17,16,47,32,48,44,66,31,21,25,24,10,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,8,3,0,601
5,Arraial do Cabo,-22.9662839,-42.024427,0,0,0,1,0,3,0,3,3,2,1,10,14,3,6,11,14,12,17,7,7,7,5,4,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
6,Barra do Piraí,-22.4703403,-43.8263256,0,0,0,1,1,4,0,5,4,6,11,25,31,37,35,46,38,59,52,42,35,19,6,6,3,1,2,1,1,0,0,0,0,0,0,0,1,3,1,1,1,1,2,0,1,0,1,2,0,1,0,0,486
7,Barra Mansa,-22.5394843,-44.1735129,0,4,2,1,1,4,8,11,18,33,33,37,28,40,58,74,99,121,134,95,105,44,34,20,17,11,10,2,3,2,1,0,1,0,2,1,6,0,1,3,8,13,18,7,7,4,1,1,9,9,4,0,1145
8,Belford Roxo,-22.7667284,-43.4033603,23,31,37,38,65,116,138,96,77,80,128,198,230,284,302,234,223,188,140,129,88,46,45,34,27,11,12,9,8,15,8,6,5,5,3,3,4,5,6,6,5,6,4,8,6,10,9,9,9,9,5,2,3185
9,Bom Jardim,-22.1515328,-42.4186683,0,0,0,0,0,1,1,4,7,6,7,12,7,30,22,15,15,32,9,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
10,Bom Jesus do Itabapoana,-21.1341025,-41.680095,141,74,150,145,136,158,209,193,215,104,86,82,46,37,41,14,3,14,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,0,1,0,2,16,22,21,5,0,1928
11,Cabo Frio,-22.8804369,-42.0189227,13,28,37,41,83,96,128,121,148,191,224,259,340,315,384,328,317,268,287,290,245,243,221,180,181,173,109,101,62,45,16,12,6,10,3,7,10,0,0,4,2,1,6,23,27,30,19,22,17,9,1,1,5684
12,Cachoeiras de Macacu,-22.4626861,-42.6534414,0,1,0,3,1,7,4,15,15,20,12,12,25,27,32,15,10,4,9,5,2,1,0,2,1,0,1,1,3,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,237
13,Cambuci,-21.5749919,-41.9107833,9,7,10,15,8,10,4,2,2,0,0,2,5,8,7,2,1,2,4,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,0,1,1,0,0,117
14,Carapebus,-22.2033,-41.6625,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,3,3,5,3,2,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
15,Comendador Levy Gasparian,-22.0427,-43.2083,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
16,Campos dos Goytacazes,-21.7545,-41.3244,14,33,38,41,42,56,69,60,54,63,83,118,149,159,215,187,255,299,322,283,267,275,216,134,104,110,88,75,71,53,31,34,25,5,3,14,6,1,4,14,6,0,1,0,0,0,0,1,4,13,5,1,4101
17,Cantagalo,-21.982,-42.3679,4,7,5,7,6,23,30,51,23,13,55,79,38,44,43,27,26,33,19,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,552
18,Cardoso Moreira,-21.488285,-41.7578,0,3,0,0,1,0,4,0,1,0,0,1,5,4,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,2,5,1,1,1,0,41
19,Carmo,-21.9239,-42.6149,0,0,0,0,0,1,0,0,1,1,4,8,8,7,7,11,10,4,10,9,4,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94
20,Casimiro de Abreu,-22.4849,-42.2013,1,1,0,1,6,6,4,2,8,11,14,13,9,17,20,10,13,20,11,14,11,6,5,8,3,7,2,0,1,3,2,0,2,0,1,1,0,0,0,2,0,0,0,1,3,1,1,1,2,0,0,0,244
21,Conceição de Macabu,-22.0849986,-41.8679947,0,0,0,0,1,0,0,1,0,0,2,2,3,1,1,1,2,0,2,1,0,0,0,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26
22,Cordeiro,-22.0287681,-42.3607442,3,2,4,1,2,6,7,19,25,25,40,57,73,224,175,132,136,102,74,29,25,6,7,6,2,1,0,2,1,3,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,2,0,1200
23,Duas Barras,-22.0522519,-42.5194705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
