,City,Lat,Lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total
0,Angra dos Reis,-23.0063966,-44.316326,28,44,33,91,92,143,241,443,582,623,771,888,686,589,676,491,281,265,211,156,112,46,56,33,21,28,10,11,10,1,6,3,4,0,1,1,0,2,4,0,1,5,3,3,6,13,7,4,5,7,9,12,7758
1,Aperibé,-21.6211928,-42.1028167,33,113,16,3,8,7,4,3,7,5,3,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,212
2,Araruama,-22.8733203,-42.3428897,8,5,5,11,21,23,22,57,161,253,170,109,157,184,136,138,121,96,61,53,34,8,12,2,2,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1857
3,Areal,-22.2314922,-43.1056264,0,0,0,0,0,0,0,2,35,10,4,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
4,Armação dos Búzios,-22.7597805,-41.8875267,1,11,9,8,27,30,40,57,49,69,158,109,121,118,174,142,113,49,29,16,11,7,6,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1367
5,Arraial do Cabo,-22.9662839,-42.024427,0,1,2,9,8,9,16,14,26,25,17,16,78,98,94,64,32,22,7,18,28,15,8,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,623
6,Barra do Piraí,-22.4703403,-43.8263256,2,7,9,8,18,16,17,40,101,78,130,99,96,78,68,42,40,15,10,16,5,8,0,6,2,5,0,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,928
7,Barra Mansa,-22.5394843,-44.1735129,4,12,10,29,14,21,57,112,125,65,153,119,89,70,34,67,63,58,50,27,16,14,3,8,9,8,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,1,2,1,0,2,0,1252
8,Belford Roxo,-22.7667284,-43.4033603,10,11,21,18,21,22,33,49,48,72,118,120,116,151,146,142,119,85,90,60,60,24,24,13,13,18,13,12,11,12,6,3,2,6,9,4,6,7,5,3,11,11,10,15,11,3,6,3,2,2,3,1,1781
9,Bom Jardim,-22.1515328,-42.4186683,1,1,0,1,1,1,2,5,2,9,17,2,6,8,9,3,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82
10,Bom Jesus do Itabapoana,-21.1341025,-41.680095,6,0,0,9,5,9,39,80,66,82,117,91,48,119,127,105,47,84,127,73,57,32,31,25,8,5,1,2,1,1,2,1,9,1,0,0,0,0,1,0,0,5,2,1,3,2,2,0,3,4,2,0,1435
11,Cabo Frio,-22.8804369,-42.0189227,6,6,35,187,164,93,228,318,492,469,705,569,491,563,491,494,361,278,209,152,138,68,31,22,31,9,10,7,0,0,3,4,3,0,1,0,1,2,2,2,0,0,4,3,8,6,6,2,9,4,6,12,6705
12,Cachoeiras de Macacu,-22.4626861,-42.6534414,3,2,14,99,137,181,216,279,332,361,365,207,160,138,34,30,19,16,12,14,12,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,3,0,4,3,11,5,2675
